RT @child_in_cry: @tinvafla  Я не умею в сигны https://t.co/FUW839Fojz				1sg
@princeofkeksiki ну во время секса не так обидно, я не умею в перфомансы, скучно выходит				1sg
Однако ни разу еще не учитывался тот факт, что я жуткий интроверт и не умею в общение с людьми				1sg
Ужасно захотелось нарисовать чернокожую девчушку, но черт, я не умею в такие оттенки кожи, лол				1sg
@Kristerstein когда ты слоупок и только увидел. Я совершенно не умею в такие вещи, и ещё меньше в описания, но попробую?				1sg
@sent_vinsent АХАХАХАХАХАХАХА конечно 🌚 я не умею в бессюжетный прон по ганнигрэму) т.е. умею, но не в фф :D хотя... а впрочем, не надо)				1sg
Я не умею в отношения. Зато друг хороший, че.				1sg
@Blue_shrimp нифига я не умею в поздравления, на самом деле. не умею я выразить своё отношение в полной мере. но правда люблю тебя &lt;3				1sg
потом в дидже перерисую не умею в традиш				1sg
Меня зовут  Мокона и я не умею в оригинальность. https://t.co/MDtevSTLB3				1sg
не умею в построение композиции, по этому буду просто перетаскивать и вращать пока не станет KPACUBO https://t.co/wpvEr4KjLm				1sg
@Nikirari я в принципе не очень умею в животных				1sg
очень грустно кстати что я не понимаю что мне делать как вести с нашей собакой  не умею в собак				1sg
@Wolfs_Tail а я умею в пафос, когда реп пытаюсь читать, но ет эпично выглядит XD				1sg
Все еще не умею в аниме https://t.co/DdcZkbeaZq				1sg
Всё ещё не умею в красоту, ну и ладно				1sg
@frstmk блин щит я не умею в макси(				1sg
блять всё не знаю не умею в конфликты и мне физически плохо стало пойду фильм досматривать				1sg
Я не могу, я не умею в профиль, я КЛЯЛАСЬ СЕБЕ не сдавать профиль. Я никогда ему не училась!				1sg
Горячо Жаль, я не умею в НЦу https://t.co/BcHGqigyeZ				1sg
Мне 16,я нежна и молода,уже умею красить брови,но еще не умею в пафосное лайк э бич ебало. https://t.co/tssOfMSkSL				1sg
@LoonyDragon но я их правда не ношу! Мне в своё время их родители купили, а я просто не умею в красивое ношение вещей, вот и не трогаю				1sg
у меня никогда не будет второй половинки потому что я не умею в эти ваши отношения				1sg
вы все охуели просто господи я же не умею в подарки я что вам всем натурой расплачиваться буду!!!				1sg
RT @luuucky_clover: [ david bowie - life on mars? ]  не умею в эстетики, но я пытался https://t.co/ckXCjEqRFT				1sg
я не умею в фем и в гет как я собрался выживать				1sg
@kenzolika я могу быть самым фрустрейтед в команде оттого как я умею в командную и очень бешусь				1sg
тихонечко осознаю что НЕ УМЕЮ В АНДЕРЭЙДЖ то есть вообще не осознаю разницу в возрасте между людьми				1sg
я не умею в полноценки полноценки сосут хуй скетчи лучше у меня все				1sg
@sweet_cherry22 ну вообще разные вещи Я не умею в говно, ты ж знаешь				1sg
не умею в социоигру				1sg
разговор ушел в сторону "не умею в личную жизнь" :")				1sg
RT @fkatvvigstxt: блять я не умею в открывание рта и издавание звуков				1sg
@pvt_Tumanov мб я не умею в облака? Найти (бесплатно) фильм Х с сабами на планшете - боль, да и платно полгода ждать. А малина just for fun?				1sg
ка адски жаль что я не умею в графику я бы стлько и нарисовал тттттт https://t.co/yQ1H3IvsXY				1sg
А еще я не умею в бэк, мэх				1sg
Еееее, я не умею в фон.~ https://t.co/GSHIznEdir				1sg
Статистика того, как я умею в разные эмоции. А вообще, вместо опции "вспомните год" я бы выбрала забыть 2016й нахуй. https://t.co/TjG1w8CMvH				1sg
@haremageddon такого не знаю (гугл мне в помощь), а из всей выпечки умею в блины, шарлотку и песочные печеньки пока что)				1sg
@rationalsister но на самом деле это будет ромком, просто я не умею в _просто_				1sg
@maslitso я не умею в пение.				1sg
я тоже умею в щачло щегла https://t.co/dj534Nnwy5				1sg
@sd0107 не, фотошопа нет, да я и не умею в него. Еще фотки делать лень)				1sg
@Kedius @WithinMKAD @Devyatov не буду спорить, я не умею в футбол)				1sg
@ukrjoker зависть :( я не очень умею в еду				1sg
Не умею в спорт от слова вообще @ Такстакс что тут у нас ага спортакон ага ясненько *набирает 200 планов*				1sg
Я не умею в аестетики, поэтому это просто мудборд????				1sg
@troum я не умею в мертвых языках(				1sg
БЛЯЯЯ Я НЕ УМЕЮ В СОБАК				1sg
Не умею в эстетики но как же круто их делать				1sg
@uspeh_i_tyolki я не умею в статьи				1sg
я не умею в хэ на самом деле что-нибудь всё равно случилось бы, я знаю да и кьётани там слишком слишком				1sg
@frozen_lion @Kuzen4ik бл, слишком сложна для меня, не умею в такой юмор				1sg
@Pintim1 я не умею в подарки				1sg
Я НЕ УМЕЮ В СЛОВА				1sg
Я не умею в стрелки				1sg
Ладно бы квест "пойди туда - не знаю куда", но там еще и продолжение в виде "найди человека и пообщайся с ним". Я плохо умею в квесты :(				1sg
Спать - это, конечно, хорошо. Но я не умею в спать :(				1sg
Почему я не умею в стилизацию?				1sg
Сделаем вид что я умею в цвет А вообще Пытаюсь Итс хард, но я пытаюсь https://t.co/LrhjUxikOz				1sg
@retrsh я не умею в шиппы но ОЧЕНЬ ПОСТАРАЮСЬ ДЛЯ РЕТРША!!!!				1sg
Привет, анонусы. Я хочу погроммировать. Я даже вполне сносно умею в плюсы. Могу пару скриптов на питоне или перле н https://t.co/VC6mMjM4Fm				1sg
Это порн, но я не умею в ракурсы, олололол				1sg
Не умею в акварель как всегда				1sg
